Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,5.984213352203369,,,,0.0
0/20,1/20,100,5000,5.797531366348267,,,,0.0
0/20,2/20,150,7500,5.868975877761841,,,,0.01
0/20,3/20,200,10000,6.161537170410156,14.068495037965477,0.1279790597036481,4.903304874897003,0.02
0/20,4/20,250,12500,24.418124198913574,1437.2548056840897,80.12758392631076,46.72243631724268,1.0
0/20,5/20,300,15000,23.35306692123413,1667.1354995965958,228.73787501454353,25.145105636678636,1.0
0/20,6/20,350,17500,24.50918698310852,1407.8663796186447,238.12998828291893,26.259556429460645,1.0
0/20,7/20,400,20000,23.542743682861328,1185.710148692131,216.55402401089668,24.69821007270366,1.0
0/20,8/20,450,22500,23.375531435012817,1021.709462583065,198.7236379981041,23.61079738661647,1.0
0/20,9/20,500,25000,24.113331079483032,916.5669593214989,185.88745346665382,23.344436946325004,1.0
0/20,10/20,550,27500,24.70352554321289,839.3852841854095,175.56714053452015,22.85644911415875,1.0
0/20,11/20,600,30000,23.528987884521484,781.6308073401451,166.31831127405167,22.24936596211046,1.0
0/20,12/20,650,32500,23.502979278564453,722.6572198867798,159.32290871441364,20.969726861454546,1.0
0/20,13/20,700,35000,23.620832681655884,685.4624092876911,153.88174021989107,19.926979863084853,1.0
0/20,14/20,750,37500,23.576531410217285,647.1543899476528,145.82121901214123,19.20275877043605,1.0
0/20,15/20,800,40000,23.73145604133606,619.0426145493984,139.10781103372574,18.88637427613139,1.0
0/20,16/20,850,42500,23.598373651504517,589.2664766013622,132.87223292142153,18.36884814221412,1.0
0/20,17/20,900,45000,24.59937310218811,571.5335982739925,126.76709964126348,18.43021472869441,1.0
0/20,18/20,950,47500,23.98330521583557,542.262209624052,124.3104293718934,18.47524220403284,1.0
0/20,19/20,1000,50000,24.12027144432068,518.6792421340942,122.33244924247265,17.749067693948746,1.0
1/20,0/20,1050,52500,25.02431035041809,504.17546044290066,118.81415846198797,17.71682660188526,1.0
1/20,1/20,1100,55000,25.557693243026733,489.28893224895,116.40346878767014,17.86216462450102,1.0
1/20,2/20,1150,57500,26.088565349578857,473.41336411237717,114.50936768203974,17.538230233360082,1.0
1/20,3/20,1200,60000,25.860736846923828,457.4237102121115,113.16515055298805,17.19049783796072,1.0
1/20,4/20,1250,62500,23.95078682899475,449.5421952903271,111.71280170977116,16.69628878775984,1.0
1/20,5/20,1300,65000,24.09634232521057,447.33713296055794,108.29460764676332,17.252381216734648,1.0
1/20,6/20,1350,67500,25.78949213027954,425.9266990721226,107.78641801327467,17.372479237616062,0.96
1/20,7/20,1400,70000,24.154183864593506,416.04245153069496,109.64598772674799,16.931365687865764,1.0
1/20,8/20,1450,72500,25.04467225074768,399.5524374693632,106.69044850021601,16.74490430112928,1.0
1/20,9/20,1500,75000,24.269216299057007,393.37319381535053,105.59664817154408,16.33769838279113,1.0
1/20,10/20,1550,77500,23.976234436035156,381.17544612288475,103.11608691513538,16.304674190469086,1.0
1/20,11/20,1600,80000,23.942280054092407,380.19093234837055,104.83259816467762,16.511693856213242,1.0
1/20,12/20,1650,82500,24.04012703895569,392.04775489866734,100.5516737550497,16.09043214796111,1.0
1/20,13/20,1700,85000,23.881367444992065,385.6704459488392,100.08662496507168,16.101166090462357,1.0
1/20,14/20,1750,87500,24.28266739845276,366.4835430830717,99.76923426240683,16.127307844348252,1.0
1/20,15/20,1800,90000,24.075454235076904,356.7624945193529,99.36235891282558,15.729709515813738,1.0
1/20,16/20,1850,92500,24.24589490890503,355.79016095399857,96.95873302221298,16.10506045818329,1.0
1/20,17/20,1900,95000,24.90324592590332,348.2599400430918,99.16878441721201,16.57402934320271,1.0
1/20,18/20,1950,97500,24.3366539478302,339.33038380742073,96.73534092307091,15.462943855673075,1.0
1/20,19/20,2000,100000,24.160982847213745,330.4914908707142,97.47521910816431,15.14014601195231,1.0
2/20,0/20,2050,102500,24.413805723190308,335.8936880081892,95.42872736603022,15.426012112759054,1.0
